D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
30574|2015|Toyota|Camry|Sedan|Blue|85123|10495.00
61789|2008|Chevrolet|Impala|Sedan|Silver|132445|5995.00
78932|2016|Ford|Escape|SUV|Black|95432|8995.00
92481|1999|Jeep|Cherokee|SUV|Green|165789|2495.00
11247|2014|Nissan|Altima|Sedan|White|103456|7495.00
58230|2006|Dodge|Ram|Truck|Red|145321|5495.00
41350|2011|Hyundai|Tucson|SUV|Blue|88456|7995.00
26348|2010|BMW|X5|SUV|Black|112345|11995.00
